# ao_strehl_timeline predicted Strehl vs time
# night=2026-05-24 telescope=K1 tomography=on target=on wavelength=K-band (2200 nm)
# budget=refined-2026-07 tt_star=R15.2@19.3arcsec lgs_offset=4.97arcsec ngs_offset=0arcsec ltao_bw_factor=1.443(floor_frac=0.7) ltao_tt_theta0_gain=1 ngs_seeing_law=kolmogorov(anchor_sK=0.3) assumed_theta0=15arcsec(K,zenith)
# merged timeline, two row types by source= column:
#   source=dimm : one row per DIMM sample -- dimm seeing, r0, NGS Strehl (MASS-derived cols blank)
#   source=mass : one row per MASS profile -- mass seeing, LGS/LTAO Strehl, theta0, d0, plus the matched DIMM total seeing used as input (NGS cols blank)
# Strehl columns + theta0 are at the science wavelength; seeing columns are 500nm LINE-OF-SIGHT (zenith x airmass^(3/5)); r0 is 500nm at ZENITH; d0 is wavelength-independent (m)
# err_*_nm columns: per-sample error-budget terms in nm RMS on mass rows (line-of-sight-projected inputs). err_focal_single is the single-beacon focal-aniso (cone) term; err_alt_ltao is tomography + quadratic layer-mismatch. Fixed terms not tabulated: HO measurement 63.3, Na focus 42, static 122.5 (=K1: tel-aberr 74.7 + WFS-calib 57.9 + DM 33.6 + AO/instr 67.1 + registration 21.2, quad), margin 130 nm.
source,utc_iso,hst_iso,dimm_seeing_arcsec_los,mass_seeing_arcsec_los,zenith_factor,airmass,r0_cm_500nm,ngs_R8_strehl,ngs_R12_strehl,single_lgs_strehl,ltao_strehl,theta0_arcsec,d0_m,layer_mismatch,ngs_theta0_arcsec,err_fit_nm,err_scint_nm,err_ang_nm,err_bw_single_nm,err_bw_ltao_nm,err_focal_single_nm,err_alt_ltao_nm,err_tt_nm
mass,2026-05-25T06:41:50,2026-05-24T20:41:50,0.6800,0.3900,1.0000,1.0000,,,,0.2294,0.2489,15.723,1.189,0.328,,125.3,30.6,61.9,53.5,77.2,152.7,101.0,310.1
dimm,2026-05-25T06:42:20,2026-05-24T20:42:20,0.6800,,1.0000,1.0000,14.86,0.4388,0.4008,,,,,,,,,,,,,,
mass,2026-05-25T06:43:28,2026-05-24T20:43:28,0.6900,0.3800,1.0000,1.0000,,,,0.2267,0.2451,15.466,1.181,0.303,,126.9,31.0,60.6,52.9,76.3,149.4,98.7,313.7
dimm,2026-05-25T06:43:59,2026-05-24T20:43:59,0.6900,,1.0000,1.0000,14.65,0.4363,0.3984,,,,,,,,,,,,,,
mass,2026-05-25T06:45:07,2026-05-24T20:45:07,0.6100,0.3400,1.0000,1.0000,,,,0.2788,0.2908,14.187,1.082,0.529,,114.5,28.0,55.2,48.1,69.3,136.2,104.2,284.8
dimm,2026-05-25T06:45:37,2026-05-24T20:45:37,0.6100,,1.0000,1.0000,16.57,0.4566,0.4172,,,,,,,,,,,,,,
dimm,2026-05-25T06:47:15,2026-05-24T20:47:15,0.7400,,1.0000,1.0000,13.66,0.4232,0.3864,,,,,,,,,,,,,,
mass,2026-05-25T06:48:24,2026-05-24T20:48:24,0.8500,0.6200,1.0000,1.0000,,,,0.1168,0.1484,14.185,1.059,0.293,,150.9,36.9,91.1,74.6,107.6,224.7,122.8,370.3
dimm,2026-05-25T06:48:55,2026-05-24T20:48:55,0.8500,,1.0000,1.0000,11.89,0.3937,0.3592,,,,,,,,,,,,,,
dimm,2026-05-25T06:50:33,2026-05-24T20:50:33,0.5900,,1.0000,1.0000,17.13,0.4615,0.4217,,,,,,,,,,,,,,
mass,2026-05-25T06:51:41,2026-05-24T20:51:41,0.6100,0.4200,1.0000,1.0000,,,,0.2574,0.2834,14.934,1.119,0.363,,114.5,28.0,65.9,54.5,78.7,162.4,106.5,284.8
dimm,2026-05-25T06:52:12,2026-05-24T20:52:12,0.6100,,1.0000,1.0000,16.57,0.4566,0.4172,,,,,,,,,,,,,,
mass,2026-05-25T06:53:20,2026-05-24T20:53:20,0.7200,0.3700,1.0000,1.0000,,,,0.2142,0.2282,14.232,1.088,0.417,,131.4,32.1,59.3,52.7,76.1,146.1,102.9,324.4
dimm,2026-05-25T06:53:51,2026-05-24T20:53:51,0.7200,,1.0000,1.0000,14.04,0.4284,0.3912,,,,,,,,,,,,,,
mass,2026-05-25T06:55:00,2026-05-24T20:55:00,0.9100,0.4500,1.0000,1.0000,,,,0.1238,0.1390,12.148,0.965,0.283,,159.8,39.0,69.7,62.8,90.6,172.0,105.4,391.1
dimm,2026-05-25T06:55:31,2026-05-24T20:55:31,0.9100,,1.0000,1.0000,11.11,0.3774,0.3441,,,,,,,,,,,,,,
dimm,2026-05-25T07:00:15,2026-05-24T21:00:15,0.7600,,1.0000,1.0000,13.30,0.4179,0.3815,,,,,,,,,,,,,,
mass,2026-05-25T07:01:24,2026-05-24T21:01:24,0.5900,0.5841,1.0000,1.0000,,,,0.2200,0.2534,10.034,0.743,0.594,,111.3,27.2,86.7,67.7,97.6,213.8,153.1,277.5
dimm,2026-05-25T07:01:54,2026-05-24T21:01:54,0.5900,,1.0000,1.0000,17.13,0.4615,0.4217,,,,,,,,,,,,,,
mass,2026-05-25T07:03:05,2026-05-24T21:03:05,0.5700,0.5643,1.0000,1.0000,,,,0.2348,0.2659,10.315,0.763,0.615,,108.2,26.4,84.2,65.7,94.8,207.7,152.3,270.2
dimm,2026-05-25T07:03:35,2026-05-24T21:03:35,0.5700,,1.0000,1.0000,17.73,0.4664,0.4262,,,,,,,,,,,,,,
mass,2026-05-25T07:04:44,2026-05-24T21:04:44,0.5500,0.4800,1.0000,1.0000,,,,0.2706,0.2951,11.578,0.859,0.615,,105.0,25.7,73.6,58.5,84.3,181.5,136.5,262.9
dimm,2026-05-25T07:05:14,2026-05-24T21:05:14,0.5500,,1.0000,1.0000,18.38,0.4712,0.4306,,,,,,,,,,,,,,
mass,2026-05-25T07:06:24,2026-05-24T21:06:24,0.5600,0.5300,1.0000,1.0000,,,,0.2500,0.2846,10.739,0.803,0.536,,106.6,26.0,79.9,62.8,90.5,197.2,136.8,266.5
dimm,2026-05-25T07:06:54,2026-05-24T21:06:54,0.5600,,1.0000,1.0000,18.05,0.4688,0.4284,,,,,,,,,,,,,,
mass,2026-05-25T07:08:04,2026-05-24T21:08:04,0.6600,0.5800,1.0000,1.0000,,,,0.1916,0.2198,9.593,0.716,0.596,,122.3,29.9,86.2,68.4,98.6,212.5,152.7,302.9
dimm,2026-05-25T07:08:34,2026-05-24T21:08:34,0.6600,,1.0000,1.0000,15.31,0.4440,0.4056,,,,,,,,,,,,,,
mass,2026-05-25T07:09:46,2026-05-24T21:09:46,0.5700,0.5643,1.0000,1.0000,,,,0.2348,0.2682,8.932,0.668,0.588,,108.2,26.4,84.2,65.7,94.8,207.7,148.8,270.2
dimm,2026-05-25T07:10:17,2026-05-24T21:10:17,0.5700,,1.0000,1.0000,17.73,0.4664,0.4262,,,,,,,,,,,,,,
mass,2026-05-25T07:11:27,2026-05-24T21:11:27,0.5700,0.5643,1.0000,1.0000,,,,0.2348,0.2664,9.825,0.729,0.610,,108.2,26.4,84.2,65.7,94.8,207.7,151.6,270.2
mass,2026-05-25T07:13:11,2026-05-24T21:13:11,0.6600,0.6534,1.0000,1.0000,,,,0.1732,0.2060,8.194,0.605,0.604,,122.3,29.9,95.2,74.3,107.2,234.7,166.9,302.9
dimm,2026-05-25T07:13:42,2026-05-24T21:13:42,0.6600,,1.0000,1.0000,15.31,0.4440,0.4056,,,,,,,,,,,,,,
dimm,2026-05-25T07:15:26,2026-05-24T21:15:26,0.7000,,1.0000,1.0000,14.44,0.4337,0.3961,,,,,,,,,,,,,,
mass,2026-05-25T07:16:37,2026-05-24T21:16:37,0.6900,0.6831,1.0000,1.0000,,,,0.1555,0.1889,7.244,0.534,0.594,,126.9,31.0,98.8,77.1,111.2,243.6,170.5,313.7
dimm,2026-05-25T07:17:07,2026-05-24T21:17:07,0.6900,,1.0000,1.0000,14.65,0.4363,0.3984,,,,,,,,,,,,,,
mass,2026-05-25T07:18:20,2026-05-24T21:18:20,0.7600,0.7524,1.0000,1.0000,,,,0.1194,0.1567,6.821,0.505,0.523,,137.5,33.6,107.0,83.5,120.5,264.0,169.7,338.7
dimm,2026-05-25T07:18:52,2026-05-24T21:18:52,0.7600,,1.0000,1.0000,13.30,0.4179,0.3815,,,,,,,,,,,,,,
mass,2026-05-25T07:20:04,2026-05-24T21:20:04,0.8600,0.8514,1.0000,1.0000,,,,0.0796,0.1160,6.935,0.514,0.469,,152.4,37.2,118.7,92.6,133.6,292.7,173.6,373.8
dimm,2026-05-25T07:20:35,2026-05-24T21:20:35,0.8600,,1.0000,1.0000,11.75,0.3910,0.3567,,,,,,,,,,,,,,
mass,2026-05-25T07:21:50,2026-05-24T21:21:50,0.6500,0.6435,1.0000,1.0000,,,,0.1794,0.2232,6.934,0.514,0.467,,120.7,29.5,94.0,73.3,105.8,231.8,145.4,299.3
dimm,2026-05-25T07:22:21,2026-05-24T21:22:21,0.6500,,1.0000,1.0000,15.55,0.4465,0.4079,,,,,,,,,,,,,,
mass,2026-05-25T07:23:34,2026-05-24T21:23:34,0.6800,0.6732,1.0000,1.0000,,,,0.1612,0.1987,7.420,0.547,0.547,,125.3,30.6,97.6,76.2,109.9,240.6,161.3,310.1
dimm,2026-05-25T07:24:04,2026-05-24T21:24:04,0.6800,,1.0000,1.0000,14.86,0.4388,0.4008,,,,,,,,,,,,,,
mass,2026-05-25T07:25:17,2026-05-24T21:25:17,0.6400,0.6336,1.0000,1.0000,,,,0.1858,0.2183,8.181,0.603,0.609,,119.2,29.1,92.8,72.4,104.5,228.8,164.0,295.7
dimm,2026-05-25T07:25:48,2026-05-24T21:25:48,0.6400,,1.0000,1.0000,15.79,0.4490,0.4102,,,,,,,,,,,,,,
mass,2026-05-25T07:27:02,2026-05-24T21:27:02,0.6100,0.6039,1.0000,1.0000,,,,0.2058,0.2419,8.551,0.630,0.566,,114.5,28.0,89.1,69.6,100.4,219.8,152.7,284.8
dimm,2026-05-25T07:27:33,2026-05-24T21:27:33,0.6100,,1.0000,1.0000,16.57,0.4566,0.4172,,,,,,,,,,,,,,
dimm,2026-05-25T07:29:18,2026-05-24T21:29:18,0.5700,,1.0000,1.0000,17.73,0.4664,0.4262,,,,,,,,,,,,,,
